Term,Definition,used by,contexts used,Related terms,Linked Content,Related Partner,Anticipated Response,Translation (ES),Other suggested terms,Created time,Glossary (PT),Last edited time,Review Status
partner,An entity: Any group or individual we have a reciprocal relationship with at the institutional level,,programs management,"local partner (https://www.notion.so/local-partner-3b536f9ab72e4f839fd31bcacadffc37?pvs=21), institutional partner (https://www.notion.so/institutional-partner-c5579a2987ba4140983cfb9051940312?pvs=21), partnership (https://www.notion.so/partnership-ff7ec64636cb443bb4520cf8653828b9?pvs=21), Local temporal collaborators (or institutional relationships?) (https://www.notion.so/Local-temporal-collaborators-or-institutional-relationships-f73e573a98f14328878c04ebac5e9232?pvs=21), deep accompaniment partners (https://www.notion.so/deep-accompaniment-partners-2d87fd6e497042bda88982aaca15cf38?pvs=21), community or local(?) partners (https://www.notion.so/community-or-local-partners-87d222a91c1c4a2b9cd2c1919e498363?pvs=21), Local partner (https://www.notion.so/Local-partner-6bf1d71589104422a413d7179b82429f?pvs=21), Institutional relationship (https://www.notion.so/Institutional-relationship-2f35e2eefada4d2dac5ab46b882aceb9?pvs=21), community (https://www.notion.so/community-dd2f5abf448745408fc5fc3197f22bdb?pvs=21), Lodging (https://www.notion.so/Lodging-524812a6dea546b68e884c7f4a6fc38a?pvs=21)",,,,,,"December 2, 2022 9:23 AM",,"January 8, 2024 5:48 PM",Not started
partnership,a relationship between two or more parties that generates energy or impact grater than individual capacity (jen’s suggestion  july 2023),"academia, deep accompaniment, field teams, funders, international partners, local partners, non-profits, social movements",programs management,"partner (https://www.notion.so/partner-9d93734086d0492685e4522b04eed7e3?pvs=21), local partner (https://www.notion.so/local-partner-3b536f9ab72e4f839fd31bcacadffc37?pvs=21), deep accompaniment partners (https://www.notion.so/deep-accompaniment-partners-2d87fd6e497042bda88982aaca15cf38?pvs=21), institutional partner (https://www.notion.so/institutional-partner-c5579a2987ba4140983cfb9051940312?pvs=21), community or local(?) partners (https://www.notion.so/community-or-local-partners-87d222a91c1c4a2b9cd2c1919e498363?pvs=21)",,,,,,"December 2, 2022 9:32 AM",,"July 12, 2023 4:06 PM",Not started
pathway,,,,,,,,Recorrido (https://www.notion.so/Recorrido-c67a9ed385014749a75eaec9cca65e5f?pvs=21),,"December 6, 2022 7:53 PM",,"July 12, 2023 4:01 PM",Not started
Peer-to-peer,"Also called P2P, it refers to a https://www.notion.so/complete-reference-guide/glossary-and-quick-reference-sheets/glossary-of-mapeo-related-terms#data
or network that connects all different devices participating in a project, such as cell phones or computers.","Core team, Design and Development team, app users, developers (external)","Dev, presentations, public - universal, training",,https://docs.mapeo.app/complete-reference-guide/glossary-and-quick-reference-sheets/glossary-of-mapeo-related-terms#peer-to-peer,,,,,"January 19, 2023 3:56 PM",,"July 17, 2025 7:43 PM",Not started
Photo Info,A screen that displays the expanded view of an Observation Photo including its meta data.,"app users, comms, field teams, technical accompaniment",CoMapeo,,"CoMapeo Glossary Updates 2025 #1 @April 15, 2025 (https://www.notion.so/CoMapeo-Glossary-Updates-2025-1-1bc1b08162d58080bbdaf65b08c85b48?pvs=21)  ",,,,,"June 30, 2025 7:42 PM",,"July 17, 2025 7:28 PM",Approved
Planning,,,,,,,,,,"November 27, 2023 6:22 PM",,"January 8, 2024 5:36 PM",Not started
PR,Pull Request is a mechanism for a contributor/developer to notify they are ready to begin the process of merging new code changes with the main project repository,Design and Development team,"ACRONYM, Dev","QA (https://www.notion.so/QA-c4734b2b2fa34511a2311e0480d22d2d?pvs=21), YOLO merge (https://www.notion.so/YOLO-merge-cee7520cf85247e6909a70757fb59e76?pvs=21)",,,,,,"October 8, 2020 2:11 PM",,"July 17, 2025 7:43 PM",Not started
process,a set of steps that are defined or emergent that facilitate change,,programs management,"Inquiry (https://www.notion.so/Inquiry-2afd6d8d7653440bb802fb151c3f8cdd?pvs=21), training (https://www.notion.so/training-774e7435d931462698b3d9885e2c34b0?pvs=21), QA (https://www.notion.so/QA-c4734b2b2fa34511a2311e0480d22d2d?pvs=21)",,,,,,"December 2, 2022 9:25 AM",,"July 12, 2023 4:01 PM",Not started
Product support,,,,,,,,,,"November 27, 2023 6:23 PM",,"January 8, 2024 5:36 PM",Not started
program,,,programs management,,,,,,,"December 2, 2022 9:23 AM",,"July 12, 2023 4:01 PM",Not started
PROGRAM (DD PROGRAM),"The core funded work we do which includes Local to Global Engagement (https://www.notion.so/Local-to-Global-Engagement-128ca5ad1ad546fdb5cd307fe8b7e418?pvs=21) Our Technologies  - ARCHIVE (https://www.notion.so/Our-Technologies-ARCHIVE-0973811e79244aa6a92a86557e5afc53?pvs=21) Untitled (https://www.notion.so/189965486ca94ae5b0657189fbfead2c?pvs=21), specificaly our work supporting  Partners/Users - Data Management (https://www.notion.so/Partners-Users-Data-Management-ff1f909ace64499b81570c46c1cc25cd?pvs=21) ",,"funder reporting, presentations, programs management",,,,,,,"December 2, 2022 9:20 AM",,"July 12, 2023 4:01 PM",Not started
Project,A core feature that enables people to manage a collaborative territorial database for multiple devices to share gathered Observations.,"app users, comms, field teams, technical accompaniment",CoMapeo,,"CoMapeo Glossary Updates 2025 #1 @April 15, 2025 (https://www.notion.so/CoMapeo-Glossary-Updates-2025-1-1bc1b08162d58080bbdaf65b08c85b48?pvs=21)  ",,,,,"June 30, 2025 7:42 PM",,"July 17, 2025 7:28 PM",Approved
project,A contained focus with concrete boundaries of time or objective marker of completion,,programs management,,,,,,,"December 2, 2022 9:23 AM",,"July 27, 2023 8:16 PM",Not started
Project Data (Metrics),Data measurements about a Project and gathered with consent by Awana Digital/CoMapeo that can be made stealth at anytime.,"app users, comms, field teams, technical accompaniment",CoMapeo,,"CoMapeo Glossary Updates 2025 #1 @April 15, 2025 (https://www.notion.so/CoMapeo-Glossary-Updates-2025-1-1bc1b08162d58080bbdaf65b08c85b48?pvs=21)  ",,,,,"June 30, 2025 7:42 PM",,"July 17, 2025 7:28 PM",Approved
Project Info,"A screen where only coordinators can edit and update a project’s name, description, and color.","app users, comms, field teams, technical accompaniment",CoMapeo,,"CoMapeo Glossary Updates 2025 #1 @April 15, 2025 (https://www.notion.so/CoMapeo-Glossary-Updates-2025-1-1bc1b08162d58080bbdaf65b08c85b48?pvs=21)  ",,,,,"June 30, 2025 7:42 PM",,"November 25, 2025 8:24 PM",Waiting for approval
Project Invite,"Easy-to-create, encrypted projects, using a project key that is securely and randomly generated inside the app and is shared with others via secure invites. This will be used to easily add other devices to a CoMapeo project, manage that project and have overall better visibility on who is part of the project.",,"CM MVP, CoMapeo",,,,,,,"May 20, 2024 5:47 PM",,"May 30, 2024 1:01 PM",Not started
PUINAMUDT,Northern Peru - 4 cuencas,"Core team, field teams, funders, international partners, local partners, technical accompaniment, volunteers","ACRONYM, public - universal",,"PUINAMUDT (4 Cuencas Platform) (https://www.notion.so/PUINAMUDT-4-Cuencas-Platform-62a3f07ddd244181bcde0e5aff115455?pvs=21) ",PUINAMUDT | Partnership (https://www.notion.so/PUINAMUDT-Partnership-2e7b3f79a77041308b27605e56b0c358?pvs=21),,,,"August 18, 2020 1:38 PM",,"April 26, 2024 9:43 AM",Not started
QA,Quality Assurance,"Core team, Design and Development team, tool testers","ACRONYM, Dev","PR (https://www.notion.so/PR-4f94db11731b413499a4a439c3a2355b?pvs=21), process (https://www.notion.so/process-6d66fefb47db49dabc7b2f349eeca1e0?pvs=21)",,,,,,"October 8, 2020 3:21 PM",,"July 17, 2025 7:43 PM",Not started
rabbit hole,"A space of spiraling questions that are filled with rich details that are often cute and fuzzy and difficult to capture ","Core team, Design and Development team, Internal only, developers (external)",internal only,,,,"Note the topic for future discussions, re-identify the objective of the discussion and get back on track",,,"May 12, 2020 10:24 AM",,"April 26, 2024 9:50 AM",Not started
Release,The latest available grouping of app updates,"app users, comms, field teams, technical accompaniment",CoMapeo,,"CoMapeo Glossary Updates 2025 #1 @April 15, 2025 (https://www.notion.so/CoMapeo-Glossary-Updates-2025-1-1bc1b08162d58080bbdaf65b08c85b48?pvs=21)  ",,,,,"June 30, 2025 7:42 PM",,"November 25, 2025 8:21 PM",Waiting for approval
Release,"Is a version of a  product generated from code (app, maptiles, config files). A release is a version of the product that has been compiled and could be ready for testing or deployment. ","Awana Digital, Design and Development team","Dev, QA, public - universal","Dev Build (https://www.notion.so/Dev-Build-e33b14ebd37941c0b30f8ec0151ba23c?pvs=21), Data Continuity  (https://www.notion.so/Data-Continuity-054ce99e743d4c038f2d1b133bcaebfd?pvs=21), Mapeo 6 (https://www.notion.so/Mapeo-6-80e769d8fb8141e299e6e2f0ed892b73?pvs=21)",,,,,,"November 9, 2023 12:58 PM",,"July 17, 2025 7:43 PM",Not started
Release Build,"Build that we actually release, to distribute to users for production use (either via the play store, or via APK, or both).",Design and Development team,Dev,Dev Build (https://www.notion.so/Dev-Build-e33b14ebd37941c0b30f8ec0151ba23c?pvs=21),,,,,,"February 17, 2025 6:53 PM",,"July 17, 2025 7:43 PM",Not started
Release Candidate Build,"Build that we think is ready for release (either as a scheduled release or a hotfix release). Once tested, the RC becomes a release build. QA will test this build.",Design and Development team,Dev,Dev Build (https://www.notion.so/Dev-Build-e33b14ebd37941c0b30f8ec0151ba23c?pvs=21),,,,,,"February 17, 2025 6:52 PM",,"July 17, 2025 7:43 PM",Not started
Remote Archive*,"A dedicated and private server used to share observations and project data using internet connectivity. 

(formerly called Mapeo Cloud)","app users, comms, field teams, technical accompaniment",CoMapeo,,"CoMapeo Glossary Updates 2025 #1 @April 15, 2025 (https://www.notion.so/CoMapeo-Glossary-Updates-2025-1-1bc1b08162d58080bbdaf65b08c85b48?pvs=21)  ",,,,,"June 30, 2025 7:42 PM",,"November 25, 2025 8:11 PM",Waiting for approval
Remote support,,,,,,,,,,"November 27, 2023 6:22 PM",,"January 8, 2024 5:36 PM",Not started
Reporting to funders,,,,,,,,,,"November 27, 2023 6:22 PM",,"January 8, 2024 5:36 PM",Not started
Role,How CoMapeo describes one of two user types,"app users, comms, field teams, technical accompaniment",CoMapeo,,"CoMapeo Glossary Updates 2025 #1 @April 15, 2025 (https://www.notion.so/CoMapeo-Glossary-Updates-2025-1-1bc1b08162d58080bbdaf65b08c85b48?pvs=21)  ",,,,,"June 30, 2025 7:42 PM",,"November 25, 2025 8:27 PM",Approved
RSI,repetitive stress injuries,,ACRONYM,,,,,,,"August 19, 2020 11:34 AM",,"July 12, 2023 4:02 PM",Not started
Scale,A Map UI element that displays the Map’s current scale.,"app users, comms, field teams, technical accompaniment",CoMapeo,,"CoMapeo Glossary Updates 2025 #1 @April 15, 2025 (https://www.notion.so/CoMapeo-Glossary-Updates-2025-1-1bc1b08162d58080bbdaf65b08c85b48?pvs=21)  ",,,,,"June 30, 2025 7:42 PM",,"July 17, 2025 7:28 PM",Approved
Scheduled Release,"a planned release normally with new features, based on the current codebase. ",,Dev,,,,,,,"February 17, 2025 6:56 PM",,"July 17, 2025 7:43 PM",Not started
Share,"A feature that enables a person using CoMapeo to send Observation data or metadata as text with outside of the app. Photos are sent as attachments. Audios must be sent separately ","app users, comms, field teams, technical accompaniment",CoMapeo,,"CoMapeo Glossary Updates 2025 #1 @April 15, 2025 (https://www.notion.so/CoMapeo-Glossary-Updates-2025-1-1bc1b08162d58080bbdaf65b08c85b48?pvs=21)  ",,,,,"June 30, 2025 7:42 PM",,"August 11, 2025 8:18 AM",Approved
social media,,,,,,,,,,"November 27, 2023 7:13 PM",,"January 8, 2024 5:36 PM",Not started
software engineering,,,,,,,,,,"November 27, 2023 7:50 PM",,"January 8, 2024 5:36 PM",Not started
Sprint,"A sprint is a short, time-boxed period when a team works to complete a set amount of work. Teams plan a single sprint at a time and adapt future sprints based on the outcome of the previous one. Part of https://www.wrike.com/project-management-guide/agile-methodology-basics/","Design and Development team, developers (external)",,Sprint retrospective (https://www.notion.so/Sprint-retrospective-e6fd335ba8ab452fb1b02de02bdac6ec?pvs=21),,,,,,"March 27, 2023 12:38 PM",,"April 26, 2024 9:50 AM",Not started
Sprint retrospective,A sprint retrospective is is a recurring meeting dedicated to discussing what went well and what can be improved in a sprint.,"Design and Development team, developers (external)",Dev,Sprint (https://www.notion.so/Sprint-68f0e3cff98e4128a0de4066e89bb71d?pvs=21),,,,,,"June 28, 2023 1:42 PM",,"July 17, 2025 7:43 PM",Not started
strategy,,"non-profits, social movements",,tactic (https://www.notion.so/tactic-a856a3aff030405cb34b7928091f2736?pvs=21),,,,,,"December 3, 2022 9:17 AM",,"July 12, 2023 4:02 PM",Not started
"Sync ",p2p a pair at a time,,MAPEO,,,,,,,"May 20, 2024 5:47 PM",,"July 17, 2025 7:47 PM",Not started
Sync Party,A concept we aspired to  in Mapeo but rebuilt from the bottom up creating CoMapeo. The feature is called Exchange,,"CM MVP, CoMapeo",,,,,,,"May 30, 2024 12:49 PM",,"July 17, 2025 7:46 PM",Out of date / depreciated
Sync Progress,,,MAPEO,,,,,,,"May 30, 2024 12:48 PM",,"July 17, 2025 7:47 PM",Not started
Sync Settings,This is function is related to Media Manager.  But what is it called?,,CoMapeo,,,,,,,"June 14, 2024 1:21 AM",,"July 17, 2025 7:49 PM",Out of date / depreciated
systems design,,,,,,,,,,"November 27, 2023 6:32 PM",,"January 8, 2024 5:36 PM",Not started
tactic,,social movements,public - universal,strategy (https://www.notion.so/strategy-5a9c1feb35c649fbae25e2aaceba9a59?pvs=21),,,,,,"December 3, 2022 9:19 AM",,"July 12, 2023 4:02 PM",Not started
Team,"A group of devices connected and participating on the same Project. In the future this might include read-only devices, no-read devices, no-write devices (e.g. a local raspberry pi stores end-to-end encrypted data).","app users, comms, field teams, technical accompaniment",CoMapeo,,"CoMapeo Glossary Updates 2025 #1 @April 15, 2025 (https://www.notion.so/CoMapeo-Glossary-Updates-2025-1-1bc1b08162d58080bbdaf65b08c85b48?pvs=21)  ",,,,,"June 30, 2025 7:42 PM",,"November 25, 2025 8:24 PM",Approved
Team Capacity Building,,,,,,,,,,"November 27, 2023 6:22 PM",,"January 8, 2024 5:36 PM",Not started
tech ops,,,,,,,,,,"November 27, 2023 6:31 PM",,"January 8, 2024 5:36 PM",Not started
Tech support,ny type of support with hardware or sofetware,,,,,,,,,"November 27, 2023 6:22 PM",,"January 8, 2024 5:47 PM",Not started
technical partners,"A relationship with a community, organisation or individual who is contributing to one of our technology products. This could be either development or testing ",,"Dev, programs management",,,,,,,"December 8, 2022 12:13 PM",,"July 17, 2025 7:43 PM",Not started
Tracks,"The fourth tab on the lower nav bar that brings up the new Tracks UI and enables a person to start and stop recording points along a path. Adding the ability to record a georeferenced track of the route users travel. This will add a new dimension to evidence and story-telling, enabling users to record the track of an illegal logging road, or the boundary of a deforested area.","app users, comms, field teams, technical accompaniment",CoMapeo,,"CoMapeo Glossary Updates 2025 #1 @April 15, 2025 (https://www.notion.so/CoMapeo-Glossary-Updates-2025-1-1bc1b08162d58080bbdaf65b08c85b48?pvs=21)  ",,,,,"June 30, 2025 7:42 PM",,"July 17, 2025 7:28 PM",Approved
Training,,,,,,,,,,"November 27, 2023 6:23 PM",,"January 8, 2024 5:36 PM",Not started
training,Transmission of specific skills and knowledge from someone with experience in using those specific skills,,programs management,"trip (https://www.notion.so/trip-2f7f1a35260640e6a3fb52985cb680ee?pvs=21), process (https://www.notion.so/process-6d66fefb47db49dabc7b2f349eeca1e0?pvs=21), event (https://www.notion.so/event-855112ff14f443fbbb7bca87004cddba?pvs=21)",,,,,,"December 2, 2022 9:32 AM",,"July 12, 2023 4:02 PM",Not started
transformative justice,,,"""HR""",,,,,,,"December 14, 2022 1:29 PM",,"July 12, 2023 4:02 PM",Not started
trip,"national or international, travel away from team member’s/s’ home/s for work. In Programs team this probably usually refers to visits to  partners for training or other activities. Team retreats / meetings and journeys for conferences perhaps are separately defined.",,programs management,"activity (https://www.notion.so/activity-51cc0ee6d21843118f740128c8972694?pvs=21), training (https://www.notion.so/training-774e7435d931462698b3d9885e2c34b0?pvs=21), event (https://www.notion.so/event-855112ff14f443fbbb7bca87004cddba?pvs=21)",,,,,,"December 2, 2022 9:26 AM",,"July 12, 2023 4:02 PM",Not started
User Requirement,"In tech, user requirements are specific details (sometimes highly technical) on how the product should work to solve a problem. ","Internal only, deep accompaniment","Dev, internal only, prioritizing",User Story (https://www.notion.so/User-Story-9c44c8f723dc49a6bf809a318a560471?pvs=21),,,,,Example : The user is allowed to reset their password once they have received a password reset email. The email should contain a unique link for resetting the password and that link should expire after two hours.,"May 14, 2024 3:26 PM",,"July 17, 2025 7:43 PM",Not started
User Story,"In tech, user stories emphasize the user’s perspective, addressing a single goal or interaction. Usually one sentence following this structure : As a _______, I want to ___________ so that I ___________________","Internal only, deep accompaniment","Dev, internal only, prioritizing",User Requirement (https://www.notion.so/User-Requirement-e36817bfff874bf6b0b2d8a8c4e743ae?pvs=21),,,,,"Example : As a user, I want to be able to reset my password so I can get back into the system if I forget it.","May 14, 2024 3:22 PM",,"July 17, 2025 7:43 PM",Not started
UX research,,,,,,,,,,"November 27, 2023 6:32 PM",,"January 8, 2024 5:36 PM",Not started
UX/UI design,,,,,,,,,,"November 27, 2023 6:23 PM",,"January 8, 2024 5:36 PM",Not started
Validated,A descriptor for all GPS coordinates and photos recorded using CoMapeo used as a means to strengthen its proof of evidence. Will eventually Include exposing a history of changes as well.,"app users, comms, field teams, technical accompaniment",CoMapeo,,"CoMapeo Glossary Updates 2025 #1 @April 15, 2025 (https://www.notion.so/CoMapeo-Glossary-Updates-2025-1-1bc1b08162d58080bbdaf65b08c85b48?pvs=21)  ",,,,,"June 30, 2025 7:42 PM",,"July 17, 2025 7:28 PM",Approved
Version Name,"A word based identifier for product versions that have significant changes from previous versions. ","Awana Digital, Design and Development team","Dev, public - universal",Mapeo 6 (https://www.notion.so/Mapeo-6-80e769d8fb8141e299e6e2f0ed892b73?pvs=21),,,,,,"November 9, 2023 1:20 PM",,"July 17, 2025 7:43 PM",Not started
Version Number,Version number relates to the different versions of a product that is released. Each version that is released receives a version number.,"Awana Digital, Design and Development team","Dev, public - universal",Mapeo 6 (https://www.notion.so/Mapeo-6-80e769d8fb8141e299e6e2f0ed892b73?pvs=21),,,,,,"November 9, 2023 1:17 PM",,"July 17, 2025 7:43 PM",Not started
vetting,,,,,,,,,,"November 27, 2023 6:41 PM",,"January 8, 2024 5:36 PM",Not started
web admin,,,,,,,,,,"November 27, 2023 7:09 PM",,"January 8, 2024 5:36 PM",Not started
Web design,,,,,,,,,,"November 27, 2023 6:33 PM",,"January 8, 2024 5:36 PM",Not started
Web development,,,,,,,,,,"November 27, 2023 7:09 PM",,"January 8, 2024 5:36 PM",Not started
Webpages,,,,,,,,,,"November 27, 2023 7:09 PM",,"January 8, 2024 5:36 PM",Not started
workshop,,,,event (https://www.notion.so/event-855112ff14f443fbbb7bca87004cddba?pvs=21),,,,,,"December 7, 2022 1:42 PM",,"July 12, 2023 4:02 PM",Not started
YOLO merge,"Merging code without review.

Normally, code is reviewed before being merged. “YOLO merging” skirts this. It asks forgiveness, not permission.

Typically, this is for trivial, non-controversial changes. It can be a bit risky.",developers (external),"Dev, internal only",PR (https://www.notion.so/PR-4f94db11731b413499a4a439c3a2355b?pvs=21),,,,,,"May 16, 2024 1:33 PM",,"July 17, 2025 7:43 PM",Not started