Quickstart Guide title,Last Edited,Release Notes,Guide Status,Release,Product
🏁 CoMapeo MVP Mobile - Quick Start Guide for Unaccompanied Users,"September 3, 2025 5:30 PM",CoMapeo Mobile MVP (https://www.notion.so/CoMapeo-Mobile-MVP-3c5e264b44db4e3c9b7fc38e81a3f28b?pvs=21),To Update,https://www.notion.so/0e0c33ad8619495099dd3331a5e9b751,
"🏁 CoMapeo Mobile 1.1.0 - Audio, Tracks, Map File Picker","September 3, 2025 5:26 PM",Release Notes : CoMapeo v1.1 (https://www.notion.so/Release-Notes-CoMapeo-v1-1-b3a23e35ea9a41a38fd87f28a9666dc8?pvs=21),To Update,https://www.notion.so/14a1b08162d580ae9888d6545cb4b7d3,
🏁 CoMapeo Mobile 1.2 - Remote Archive,"September 3, 2025 5:32 PM",Release Notes : CoMapeo v2 (https://www.notion.so/Release-Notes-CoMapeo-v2-1981b08162d5803aa0fffc74bbbc1915?pvs=21),To Update,https://www.notion.so/18e1b08162d5802aa364f1d81abd6cc9,
🏁 CoMapeo Mobile - Media Manager,"September 3, 2025 5:33 PM",,Archive,,
"🏁 CoMapeo Mobile - Invite devices to default project ","September 3, 2025 5:33 PM",Release Notes : CoMapeo v3 (https://www.notion.so/Release-Notes-CoMapeo-v3-1ac1b08162d580558afbc9665251ff2b?pvs=21),Ready to read,https://www.notion.so/1f91b08162d580a38eaec5d046bbbdbe,https://www.notion.so/c1e45971d4a94f76b96cf0c27b96c41d
"🏁 CoMapeo Mobile - Security features ","September 3, 2025 5:27 PM",Release Notes : CoMapeo v3 (https://www.notion.so/Release-Notes-CoMapeo-v3-1ac1b08162d580558afbc9665251ff2b?pvs=21),Ready to read,https://www.notion.so/1f91b08162d580a38eaec5d046bbbdbe,https://www.notion.so/c1e45971d4a94f76b96cf0c27b96c41d
🏁 CoMapeo Mobile - Multi Project,"September 3, 2025 5:35 PM",Release Notes : CoMapeo v5.0 (https://www.notion.so/Release-Notes-CoMapeo-v5-0-1de1b08162d580b38c94ec18de3a998e?pvs=21),Ready to read,,https://www.notion.so/c1e45971d4a94f76b96cf0c27b96c41d
🏁 CoMapeo Mobile - Data Export,"September 3, 2025 5:28 PM",Release Notes : CoMapeo v5.0 (https://www.notion.so/Release-Notes-CoMapeo-v5-0-1de1b08162d580b38c94ec18de3a998e?pvs=21),Ready to read,,https://www.notion.so/c1e45971d4a94f76b96cf0c27b96c41d
🏁 CoMapeo Mobile - Audio Improvements,"September 3, 2025 5:28 PM",Release Notes : CoMapeo v5.0 (https://www.notion.so/Release-Notes-CoMapeo-v5-0-1de1b08162d580b38c94ec18de3a998e?pvs=21),Ready to read,,https://www.notion.so/c1e45971d4a94f76b96cf0c27b96c41d
🏁 CoMapeo Mobile - Tracks Improvements,"September 3, 2025 5:28 PM",Release Notes : CoMapeo v5.0 (https://www.notion.so/Release-Notes-CoMapeo-v5-0-1de1b08162d580b38c94ec18de3a998e?pvs=21),Ready to read,,https://www.notion.so/c1e45971d4a94f76b96cf0c27b96c41d
🏁 CoMapeo Mobile - Exchange Settings - Updated,"September 3, 2025 5:29 PM",Release Notes : CoMapeo v5.0 (https://www.notion.so/Release-Notes-CoMapeo-v5-0-1de1b08162d580b38c94ec18de3a998e?pvs=21),Ready to read,,https://www.notion.so/c1e45971d4a94f76b96cf0c27b96c41d
🏁 CoMapeo Mobile - Exposing Observation Metadata,"September 3, 2025 5:29 PM",Release Notes : CoMapeo v5.0 (https://www.notion.so/Release-Notes-CoMapeo-v5-0-1de1b08162d580b38c94ec18de3a998e?pvs=21),Ready to read,,https://www.notion.so/c1e45971d4a94f76b96cf0c27b96c41d
🏁 CoMapeo Mobile - Exposing Photo Data,"September 3, 2025 5:29 PM","Release Notes : CoMapeo v3 (https://www.notion.so/Release-Notes-CoMapeo-v3-1ac1b08162d580558afbc9665251ff2b?pvs=21), Release Notes : CoMapeo v5.0 (https://www.notion.so/Release-Notes-CoMapeo-v5-0-1de1b08162d580b38c94ec18de3a998e?pvs=21)",Ready to read,https://www.notion.so/1f91b08162d580a38eaec5d046bbbdbe,"https://www.notion.so/c1e45971d4a94f76b96cf0c27b96c41d,https://www.notion.so/c1e45971d4a94f76b96cf0c27b96c41d"